"Testcase","ErrorMessage"
"Unity.Publishing.Api.IntegrationTest.RestAPITest.InvalidApiKeyTest","The API is not up and running\r\nExpected: True\r\nActual:   False"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.CheckMethodsTest","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.PostAccessAPITest(newUser: { displayName = Integration Test1, email = test1@test1.test, roles = Readonly,Developer })","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.PostAccessAPITest(newUser: { displayName = Integration Test2, email = test2@test2.test, roles = Readonly,Developer })","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.PostAccessAPITest(newUser: { displayName = Integration Test3, email = test3@test3.test, roles = Readonly,Developer })","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.GetAccessAPITest","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.PostAccessAPIWithSameDataTest(newUser: { displayName = Integration Test1, email = test1@test1.test, roles = Readonly,Developer })","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.PostAccessAPIWithSameDataTest(newUser: { displayName = Integration Test2, email = test2@test2.test, roles = Readonly,Developer })","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.PostAccessAPIWithSameDataTest(newUser: { displayName = Integration Test3, email = test3@test3.test, roles = Readonly,Developer })","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.MandatoryPostDataTest(newUser: { displayName = AAAA, email = sometest@test.com })","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.MandatoryPostDataTest(newUser: { displayName = AAAA, roles = Readonly,Developer })","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.MandatoryPostDataTest(newUser: { displayName = AAAA, roles = Readonly,Developer })","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.MandatoryPostDataTest(newUser: { roles = Readonly,Developer, email = sometest@test.com })","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.MandatoryPostDataTest(newUser: { displayName = , email = test1@test1.test, roles = Readonly,Developer })","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.MandatoryPostDataTest(newUser: { displayName = Integration Test2, email = , roles = Readonly,Developer })","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.MandatoryPostDataTest(newUser: { displayName = Integration Test3, email = test3@test3.test, roles =  })","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.MandatoryPutDataTest(newUser: { displayName = Integration Test8, email = test8@test8.test, roles = Readonly,Developer }, newProfile: [{ displayName = , email = test8@test8.test, roles = Readonly,Developer }, { displayName = Integration Test8, email = test8@test8.test, roles =  }, { displayName = Integration Test8, email = test8@test8.test }, { email = test8@test8.test, roles = Readonly,Developer }])","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.CheckEmailTest(email: \""test1@test1.test\"")","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.CheckEmailTest(email: \""test1@test1.test\"")","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.CheckEmailTest(email: \""test1test1.test\"")","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
"Unity.Publishing.Api.IntegrationTest.ApiAuthUserIntegrationTest.CheckEmailTest(email: \""test9test9.test\"")","System.Net.Http.HttpRequestException : An error occurred while sending the request.\r\n---- System.Net.Http.WinHttpException : The server returned an invalid or unrecognized response"
